user_id,items_id,score
A100WO06OQR8BQ,B000VX6XL6,5.0
A100WO06OQR8BQ,B0042FZ50O,2.0
A100WO06OQR8BQ,B00EXK14S0,3.0
A100WO06OQR8BQ,B00006RVPW,5.0
A100WO06OQR8BQ,B00DR0C96S,3.0
A100WO06OQR8BQ,B0009YJXMS,4.0
A10ZBR6O8S8OCY,B00834SJSK,5.0
A10ZBR6O8S8OCY,B0063705PE,5.0
A10ZBR6O8S8OCY,B006EKIQYM,5.0
A11I1I9QLMAM1A,B003ES5ZUU,5.0
A11I1I9QLMAM1A,B00A7PPLP2,5.0
A11I1I9QLMAM1A,B00CD8ADKO,5.0
A11I1I9QLMAM1A,B006I5MKZY,5.0
A11I1I9QLMAM1A,B002TLTE6Y,5.0
A11I1I9QLMAM1A,B005FYNSPK,4.0
A11I1I9QLMAM1A,B001CIREXA,5.0
A11I1I9QLMAM1A,B009M27MB2,5.0
A11I1I9QLMAM1A,B00JY4QCJQ,4.0
A11I1I9QLMAM1A,B00FQQ4PNQ,2.0
A11OTLEDSW8ZXD,B00D6XW62I,5.0
A11OTLEDSW8ZXD,B008R7EVE4,5.0
A11OTLEDSW8ZXD,B001DJ9GOS,2.0
A11OTLEDSW8ZXD,B00GBATPFO,5.0
A12DQZKRKTNF5E,B00829THK0,4.0
A12DQZKRKTNF5E,B00D4MFPLA,4.0
A12DQZKRKTNF5E,B009SYZ8OC,5.0
A12DQZKRKTNF5E,B00DR8LA60,4.0
A12DQZKRKTNF5E,B003VAGXWK,4.0
A12DQZKRKTNF5E,B005QBK5V2,4.0
A12DQZKRKTNF5E,B001PIBE8I,5.0
A12DQZKRKTNF5E,B00429N18S,5.0
A12DQZKRKTNF5E,B00BP5KOPA,5.0
A132ETQPMHQ585,B006GWO5WK,1.0
A13MKSASQ6YWL7,B00829THEG,3.0
A13MKSASQ6YWL7,B0088PPFP4,4.0
A13WOT3RSXKRD5,B00829TIEK,5.0
A13WOT3RSXKRD5,B0041Q38NU,5.0
A13WOT3RSXKRD5,B006RG0QC8,4.0
A14DNCG5WHM86Z,B009G5T9LG,2.0
A15T9G38F589KM,B003ES5ZUU,5.0
A15T9G38F589KM,B002VPE1QG,4.0
A15T9G38F589KM,B000RQSGYO,2.0
A15T9G38F589KM,B003VAK16O,5.0
A16YU3GRGCD95S,B008X9Z528,3.0
A16YU3GRGCD95S,B005KELR3A,4.0
A17V9XL4CWTQ6G,B0082E9K7U,5.0
A17V9XL4CWTQ6G,B00CJRZ31S,5.0
A17V9XL4CWTQ6G,B00IX2VGFA,5.0
A17V9XL4CWTQ6G,B0081FLFQE,5.0
A17V9XL4CWTQ6G,B0023B14TK,5.0
A18ECVX2RJ7HUE,B00902SFC4,5.0
A18ECVX2RJ7HUE,B004CLYJ1Y,4.0
A18GJ9MYYO6GCQ,B00BXF5GKK,5.0
A18GJ9MYYO6GCQ,B006ZT4VA0,5.0
A18GJ9MYYO6GCQ,B00931DHKM,3.0
A19UTUEBWKIZFT,B008DWCRQW,5.0
A19UTUEBWKIZFT,B00G4UQ6U8,5.0
A19UTUEBWKIZFT,B009QV72VY,5.0
A19UTUEBWKIZFT,B002J9HBIO,5.0
A19UTUEBWKIZFT,B00BOHNYU6,5.0
A19XMHRB3G4DIR,B004CLYEE6,5.0
A19XMHRB3G4DIR,B004CLYEH8,5.0
A19XMHRB3G4DIR,B002JCSCYS,5.0
A19XMHRB3G4DIR,B00JP12170,3.0
A19XMHRB3G4DIR,B004XC6GJ0,5.0
A19XMHRB3G4DIR,B002IC0YL8,5.0
A19XMHRB3G4DIR,B001B8EOMU,5.0
A19XMHRB3G4DIR,B000OTF6G0,5.0
A1B6O7SAIYG2N0,B00DQZOD8Q,4.0
A1B6O7SAIYG2N0,B002TLTE6O,3.0
A1B6O7SAIYG2N0,B00BD99JSQ,3.0
A1B6O7SAIYG2N0,B0012S4APK,5.0
A1E1LEVQ9VQNK,B008X9Z9ZQ,5.0
A1E1LEVQ9VQNK,B004GCJEZU,5.0
A1E1LEVQ9VQNK,B008ULPCB8,3.0
A1E1LEVQ9VQNK,B005IMFX2K,5.0
A1E1LEVQ9VQNK,B00AYQ433U,5.0
A1E1LEVQ9VQNK,B005DOUJL8,5.0
A1E1LEVQ9VQNK,B005QBK5V2,5.0
A1EARN5PUVIF1S,B00D5Q75RC,5.0
A1EVV74UQYVKRY,B007OY5V68,4.0
A1EVV74UQYVKRY,B00D4MFPLA,5.0
A1EVV74UQYVKRY,B00BUACE8K,4.0
A1EVV74UQYVKRY,B004I5FL1G,4.0
A1EVV74UQYVKRY,B000S5Q9CA,5.0
A1EVV74UQYVKRY,B005OOKNP4,5.0
A1F7YU6O5RU432,B00834SJSK,5.0
A1F7YU6O5RU432,B008X9Z8NE,5.0
A1F7YU6O5RU432,B008MF48J4,5.0
A1F7YU6O5RU432,B0035JJJQE,4.0
A1F7YU6O5RU432,B005IMFX2K,5.0
A1F7YU6O5RU432,B002FYL7PG,5.0
A1F7YU6O5RU432,B00BERGFV6,5.0
A1F9Z42CFF9IAY,B00109Y2DQ,5.0
A1F9Z42CFF9IAY,B009A6CZ30,5.0
A1F9Z42CFF9IAY,B000M17AVO,5.0
A1F9Z42CFF9IAY,B004HKJTT2,2.0
A1F9Z42CFF9IAY,B004QK8FBG,2.0
A1GYEGLX3P2Y7P,B007ZZ6OW6,4.0
A1GYEGLX3P2Y7P,B006W8U2MU,5.0
A1GYEGLX3P2Y7P,B003B4CU3M,4.0
A1GYEGLX3P2Y7P,B003XU6H8I,5.0
A1GYEGLX3P2Y7P,B00FG38L16,4.0
A1H7Y5XKPGT0OS,B009T0NFTA,4.0
A1H7Y5XKPGT0OS,B001XURP7W,4.0
A1H7Y5XKPGT0OS,B002VPE1Z2,4.0
A1H7Y5XKPGT0OS,B00212NO6W,5.0
A1IH42TUIZ2XJL,B00426C57O,5.0
A1ITRGMT80D5TK,B00904JILO,2.0
A1ITRGMT80D5TK,B008D97LNE,4.0
A1ITRGMT80D5TK,B00EPY0QVU,5.0
A1IU7S4HCK1XK0,B000N99BBC,5.0
A1IU7S4HCK1XK0,B004QK7HI8,5.0
A1IU7S4HCK1XK0,B004TKTOWC,5.0
A1IU7S4HCK1XK0,B003YNO0LA,4.0
A1IU7S4HCK1XK0,B0035JJJQY,2.0
A1IU7S4HCK1XK0,B008ULPBJG,3.0
A1KT19TDP9VE63,B000TKHBDK,5.0
A1MZL91Z44RN06,B004CLYEE6,4.0
A1MZL91Z44RN06,B00E87E1OM,5.0
A1MZL91Z44RN06,B0074FGLUM,5.0
A1MZL91Z44RN06,B000UY3NR8,5.0
A1ODOGXEYECQQ8,B002V88HFE,4.0
A1ODOGXEYECQQ8,B005HMKKH4,5.0
A1ODOGXEYECQQ8,B003ZBZ64Q,5.0
A1ODOGXEYECQQ8,B0041OSQ9I,5.0
A1ODOGXEYECQQ8,B00IORDBPC,4.0
A1ODOGXEYECQQ8,B001VFUN82,4.0
A1ODOGXEYECQQ8,B0041H8PH8,4.0
A1ODOGXEYECQQ8,B004XZHY34,4.0
A1ODOGXEYECQQ8,B00BD99JSQ,2.0
A1ODOGXEYECQQ8,B0011ZCDKS,5.0
A1ODOGXEYECQQ8,B0011NVMO8,4.0
A1ODOGXEYECQQ8,B004WK3U9W,4.0
A1PAGHECG401K1,B00005N6KG,5.0
A1PI8VBCXXSGC7,B0079UAT0A,5.0
A1PI8VBCXXSGC7,B008X9Z9ZQ,4.0
A1PI8VBCXXSGC7,B00CMJZAOI,5.0
A1PI8VBCXXSGC7,B000Q8UAWY,3.0
A1PI8VBCXXSGC7,B00A3YDT5Q,4.0
A1PI8VBCXXSGC7,B0046W5EQI,4.0
A1QBOC76MIOJYP,B007L5NKZO,3.0
A1R377IPZOKLMM,B00486MH80,5.0
A1R377IPZOKLMM,B00634PLTW,4.0
A1R377IPZOKLMM,B002VPE1YS,5.0
A1R377IPZOKLMM,B000BQ57BU,4.0
A1RRMZKOMZ2M7J,B009YQ8BTI,3.0
A1SB9BNNGKNX2Z,B002R5AM7C,4.0
A1SB9BNNGKNX2Z,B003YH9EZ8,4.0
A1SB9BNNGKNX2Z,B005DKZP6G,5.0
A1SB9BNNGKNX2Z,B0076MBOC8,5.0
A1SB9BNNGKNX2Z,B000EOPQ7E,5.0
A1SHHQSPOWR00F,B002WE4HE2,5.0
A1SHHQSPOWR00F,B001F7AHOG,2.0
A1SHHQSPOWR00F,B0000BZL1P,5.0
A1T1YSCDW0PD25,B002WE6D44,5.0
A1T1YSCDW0PD25,B00CHH0JF0,5.0
A1T1YSCDW0PD25,B002MAPRYU,5.0
A1T1YSCDW0PD25,B000BKJZ9Q,5.0
A1T1YSCDW0PD25,B000BQ57BU,4.0
A1T1YSCDW0PD25,B000BTL0OA,5.0
A1T61QP7QHYBRQ,B003VAGXZC,5.0
